numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
141,32767,4,-4740,32767,32767,-32768
142,17684,18944,32767,-32768,-32768,-123
143,-5284,32767,-32768,-2357,-22667,32767
144,32767,3604,-32768,-32768,32767,17793
145,18400,-13948,32767,25962,32767,3825
146,5496,4396,30004,32222,-32768,5964
147,-2324,-22972,9852,3286,-32768,-4294
148,13136,25332,-32192,-32768,-32768,-32768
149,4232,29752,32767,-12049,32767,32767
150,8548,-10084,18412,22900,-32768,-32768
151,32767,24520,-32768,-32768,32767,32767
152,32767,9872,32767,32767,-32768,32767
153,-20480,32767,-32768,-11937,-32768,-32768
154,32767,30236,-12796,-32768,32767,32767
155,17912,516,32767,32767,-32768,32767
156,-9964,13548,-1320,-5524,-27174,-20978
157,-20540,2780,25336,-506,26490,-11500
158,2744,-9828,18404,12617,32767,-21118
159,-15372,26988,-32768,-13913,-6884,30964
160,18360,7676,24808,32767,32767,-7178
161,6968,20432,-29420,-19559,-32768,20118
162,-2392,4948,4696,-29982,-32768,-29782
163,-3148,968,20292,-31753,-29506,-22610
164,9944,12304,32767,17780,32767,-1250
165,20444,-1784,3136,12601,32767,-32768
166,-1304,32756,-32768,-14377,-21342,3141
167,12776,-1008,600,-32768,-32768,-32768
168,11728,6420,31360,-6960,32767,7378
169,-7892,11528,-10480,19295,32767,-7161
170,-7632,11864,-20908,-24754,-32768,-14566
171,16692,23812,32767,13225,-26784,22082
172,-13132,4544,-8072,16823,-32768,-2804
173,-5144,2952,15504,-24876,19177,-5992
174,2580,21720,16916,-19342,28337,-13846
175,-5256,-3568,32767,5914,-24137,-1140
176,3152,1792,2308,-6702,-32768,2345
177,-17796,3592,14188,-4693,-1515,-16417
178,1348,8884,23452,14673,29682,7329
179,-6844,11812,22368,-10708,-16493,5824
180,13976,24940,15668,25463,-32768,11852
181,-25192,-15588,5156,-347,3139,-2264
182,13340,12372,12904,4454,-483,1677
183,-7224,-14680,8932,-10415,-3657,2229
184,-11312,11512,12492,3106,21889,-5636
185,10052,3068,20448,-8355,-6798,2132
